# FQM_w,     FQM_I,    FQM_I_of_C_after_erf  
-7.580000       0.006380       0.000831 
-7.560000       0.017444       0.000793 
-7.540000       0.013214       0.000737 
-7.520000       -0.002523       0.000711 
-7.500000       -0.015317       0.000746 
-7.480000       -0.013310       0.000840 
-7.460000       0.001798       0.000952 
-7.440000       0.016190       0.001025 
-7.420000       0.016590       0.001023 
-7.400000       0.002522       0.000953 
-7.380000       -0.013133       0.000868 
-7.360000       -0.015908       0.000836 
-7.340000       -0.003101       0.000897 
-7.320000       0.013627       0.001038 
-7.300000       0.018884       0.001192 
-7.280000       0.007732       0.001279 
-7.260000       -0.009658       0.001253 
-7.240000       -0.017257       0.001137 
-7.220000       -0.007927       0.001013 
-7.200000       0.009899       0.000978 
-7.180000       0.019864       0.001081 
-7.160000       0.012713       0.001289 
-7.140000       -0.005084       0.001499 
-7.120000       -0.017160       0.001596 
-7.100000       -0.012275       0.001528 
-7.080000       0.005254       0.001343 
-7.060000       0.019388       0.001169 
-7.040000       0.017066       0.001140 
-7.020000       0.000302       0.001309 
-7.000000       -0.015526       0.001611 
-6.980000       -0.015750       0.001889 
-6.960000       0.000028       0.001987 
-6.940000       0.017427       0.001851 
-6.920000       0.020422       0.001569 
-6.900000       0.006135       0.001334 
-6.880000       -0.012371       0.001325 
-6.860000       -0.017999       0.001595 
-6.840000       -0.005376       0.002026 
-6.820000       0.014065       0.002385 
-6.800000       0.022469       0.002467 
-6.780000       0.011996       0.002223 
-6.760000       -0.007832       0.001809 
-6.740000       -0.018744       0.001503 
-6.720000       -0.010513       0.001541 
-6.700000       0.009506       0.001961 
-6.680000       0.022984       0.002562 
-6.660000       0.017440       0.003013 
-6.640000       -0.002159       0.003048 
-6.620000       -0.017800       0.002643 
-6.600000       -0.014927       0.002053 
-6.580000       0.004063       0.001673 
-6.560000       0.021849       0.001799 
-6.540000       0.022030       0.002433 
-6.520000       0.004296       0.003257 
-6.500000       -0.015102       0.003803 
-6.480000       -0.018188       0.003743 
-6.460000       -0.001859       0.003105 
-6.440000       0.019074       0.002289 
-6.420000       0.025371       0.001839 
-6.400000       0.011104       0.002116 
-6.380000       -0.010710       0.003051 
-6.360000       -0.019918       0.004154 
-6.340000       -0.007783       0.004786 
-6.320000       0.014798       0.004559 
